X,Y,ExtractDate,Week,TotalweeklyVaccines,Male,Female,NA,Moderna,Pfizer,Janssen,AstraZeneca,Partial_Age0to9,Partial_Age10to19,Partial_Age20to29,Partial_Age30to39,Partial_Age40to49,Partial_Age50to59,Partial_Age60to69,Partial_Age70to79,Partial_Age80_,Partial_NA,ParCum_Age0to9,ParCum_Age10to19,ParCum_Age20to29,ParCum_Age30to39,ParCum_Age40to49,ParCum_Age50to59,ParCum_Age60to69,ParCum_Age70to79,ParCum_80_,ParCum_NA,ParPer_Age0to9,ParPer_Age10to19,ParPer_Age20to29,ParPer_Age30to39,ParPer_Age40to49,ParPer_Age50to59,ParPer_Age60to69,ParPer_Age70to79,ParPer_80_,ParPer_NA,Fully_Age0to9,Fully_Age10to19,Fully_Age20to29,Fully_Age30to39,Fully_Age40to49,Fully_Age50to59,Fully_Age60to69,Fully_Age70to79,Fully_Age80_,Fully_NA,FullyCum_Age0to9,FullyCum_Age10to19,FullyCum_Age20to29,FullyCum_Age30to39,FullyCum_Age40to49,FullyCum_Age50to59,FullyCum_Age60to69,FullyCum_Age70to79,FullyCum_80_,FullyCum_NA,FullyPer_Age0to9,FullyPer_Age10to19,FullyPer_Age20to29,FullyPer_Age30to39,FullyPer_Age40to49,FullyPer_Age50to59,FullyPer_Age60to69,FullyPer_Age70to79,FullyPer_80_,FullyPer_NA,ObjectId
-856336.314876336,7036491.65084485,1668988800000,2021-W10,92294,34774,57518,2,4099,53444,25,34726,0,181,5882,6924,8722,8409,6416,7598,35893,0,5,822,43366,60420,74524,69029,44818,29502,153309,26,1.04372585079313e-05,0.00148717447704649,0.0701242042181894,0.0878712385307091,0.0950367271985309,0.108670463812196,0.0882027060270603,0.0843128681293243,0.836309978397958,Inf,0,16,973,1530,1934,2020,1755,1484,2581,0,2,304,19405,31357,38447,34807,21175,8635,19977,17,4.17490340317251e-06,0.000550001266450285,0.0313785035016825,0.0456037475439829,0.0490295347888186,0.0547957066437453,0.0416728167281673,0.0246777037589558,0.108975757708001,Inf,11
-856336.314876336,7036491.65084485,1668988800000,2021-W11,65571,28284,37287,0,1828,62138,22,1582,0,61,517,711,615,834,989,14662,25946,0,5,883,43883,61131,75139,69863,45807,44164,179255,26,1.04372585079313e-05,0.001597536573275,0.0709602096966933,0.0889052744558222,0.0958210059171598,0.109983407166719,0.0901490774907749,0.12621495180203,0.9778469964433,Inf,0,15,623,913,907,1017,860,852,16071,0,2,319,20028,32270,39354,35824,22035,9487,36048,17,4.17490340317251e-06,0.000577139486834345,0.0323859143587579,0.0469315602016879,0.0501861864925525,0.0563967418854118,0.0433653136531365,0.0271126086347671,0.1966440463462,Inf,12
-856336.314876336,7036491.65084485,1668988800000,2021-W12,134433,57622,76808,3,8106,86816,17,39493,0,397,6017,6745,8683,9711,9581,35538,12997,0,5,1280,49900,67876,83822,79574,55388,79702,192252,26,1.04372585079313e-05,0.00231579480610646,0.0806898904784312,0.0987147995119234,0.10689400122424,0.125271168456615,0.10900467404674,0.227777920671256,1,Inf,0,13,496,657,700,818,1134,3531,37432,0,2,332,20524,32927,40054,36642,23169,13018,73480,17,4.17490340317251e-06,0.000600659277833863,0.0331879621679223,0.0478870617527418,0.0510788614568455,0.0576844968782174,0.0455970479704797,0.0372037460954357,0.400837897401209,Inf,13
-856336.314876336,7036491.65084485,1668988800000,2021-W13,141194,65083,76111,0,12969,91888,36,36301,0,335,5935,6297,7768,8709,9715,41700,7982,0,5,1615,55835,74173,91590,88283,65103,121402,200234,26,1.04372585079313e-05,0.00292188172801714,0.0902869746465573,0.107872780131385,0.116800142827994,0.138981508593954,0.128123985239852,0.346951081846527,1,Inf,0,16,405,543,495,534,1037,7608,42151,0,2,348,20929,33470,40549,37176,24206,20626,115631,17,4.17490340317251e-06,0.000629606712910194,0.033842860076615,0.0486767685141151,0.0517101101815956,0.0585251584505379,0.0476378843788438,0.0589464178033843,0.630774182286325,Inf,14
-856336.314876336,7036491.65084485,1668988800000,2021-W14,132380,63346,69031,3,8612,92223,78,31466,0,283,4219,4607,6652,8318,10672,51908,2364,0,5,1898,60054,78780,98242,96601,75775,173310,202598,26,1.04372585079313e-05,0.00343388948592974,0.0971092321200743,0.114572925710845,0.125283105488676,0.152076308141823,0.149126691266913,0.495297375618372,1,Inf,0,45,275,394,334,434,700,6796,34457,0,2,393,21204,33864,40883,37610,24906,27422,150088,17,4.17490340317251e-06,0.000711021374062374,0.0342875438417767,0.0492497785766954,0.0521360436645583,0.0592083927621243,0.0490154981549816,0.0783684994184235,0.818739226254119,Inf,15
-856336.314876336,7036491.65084485,1668988800000,2021-W15,157087,76580,80505,2,5005,141692,30,10360,0,193,1395,2168,3736,5433,13481,85505,1591,0,5,2091,61449,80948,101978,102034,89256,258815,204189,26,1.04372585079313e-05,0.00378306792153798,0.0993649915833491,0.117725935395297,0.130047439298102,0.160629331217511,0.175657564575646,0.739659513419127,1,Inf,0,45,334,456,413,443,752,15275,25897,0,2,438,21538,34320,41296,38053,25658,42697,175985,17,4.17490340317251e-06,0.000792436035214555,0.034827632487464,0.0499129577354177,0.0526627218934911,0.0599057955271767,0.0504954489544895,0.122022457139101,0.960008946300377,Inf,16
-856336.314876336,7036491.65084485,1668988800000,2021-W16,190156,93671,96482,3,12705,125988,11,51452,0,1258,2557,4093,7728,13079,39710,69421,784,2,5,3349,64006,85041,109706,115113,128966,328236,204973,28,1.04372585079313e-05,0.00605906000441448,0.103499742083416,0.123678550080934,0.139902570903897,0.181219242648934,0.253807626076261,0.938055677015012,1,Inf,0,195,440,700,812,734,1185,34321,13148,0,2,633,21978,35020,42108,38787,26843,77018,189133,17,4.17490340317251e-06,0.00114523290020734,0.0355391265117227,0.0509309959176669,0.053698224852071,0.0610613116209655,0.0528275522755228,0.220107398738536,1,Inf,17
-856336.314876336,7036491.65084485,1668988800000,2021-W17,213163,104404,108755,4,14643,118771,55,79692,0,639,6309,9779,17767,28464,78254,19914,649,0,5,3988,70315,94820,127473,143577,207220,348150,205622,28,1.04372585079313e-05,0.00721514819277544,0.113701596172162,0.137900543486955,0.162559936747603,0.22602933814431,0.407813038130381,0.994967291682742,1,Inf,0,83,316,415,434,537,1088,40388,8182,0,2,716,22294,35435,42542,39324,27931,117406,197315,17,4.17490340317251e-06,0.0012953977196658,0.0360501085836903,0.0515345471257146,0.0542516833299327,0.0619066960111081,0.0549687576875769,0.335531035034623,1,Inf,18
-856336.314876336,7036491.65084485,1668988800000,2021-W18,248073,123575,124494,4,10188,115631,358,121896,0,1213,6505,10105,16650,25448,123932,5213,357,2,5,5201,76820,104925,144123,169025,331152,353363,205979,30,1.04372585079313e-05,0.00940972561449977,0.124220388508078,0.152596651817853,0.183792848398286,0.266091427455944,0.651713653136531,1,1,Inf,0,121,410,668,866,1468,3260,49844,2369,0,2,837,22704,36103,43408,40792,31191,167250,199684,17,4.17490340317251e-06,0.00151431269743055,0.0367130916517495,0.0525060464196324,0.055356049785758,0.0642177281986858,0.0613845018450185,0.477978686008728,1,Inf,19
-856336.314876336,7036491.65084485,1668988800000,2021-W19,325036,163803,161226,7,22745,210523,915,90852,0,1306,7004,10530,16163,74683,104975,2871,262,0,5,6507,83824,115455,160286,243708,436127,356234,206241,30,1.04372585079313e-05,0.0117725600026053,0.135546079748778,0.167910854759401,0.204404713323811,0.38366282859005,0.858306519065191,1,1,Inf,0,479,1189,1785,3004,4896,10070,84945,1789,0,2,1316,23893,37888,46412,45688,41261,252195,201473,17,4.17490340317251e-06,0.00238092653502821,0.0386357425491214,0.0551020437843679,0.059186900632524,0.0719253668842311,0.0812024600246002,0.720740416848856,1,Inf,20
-856336.314876336,7036491.65084485,1668988800000,2021-W20,333665,170184,163473,8,42864,244852,29062,16887,0,1552,8327,13308,19595,171977,28835,1515,140,0,5,8059,92151,128763,179881,415685,464962,357749,206381,30,1.04372585079313e-05,0.0145804612050094,0.149011104157874,0.187265214944219,0.229393236074271,0.654401508782867,0.915054366543665,1,1,Inf,0,906,2934,4548,7912,41239,14402,44705,830,2,2,2222,26827,42436,54324,86927,55663,296900,202303,19,4.17490340317251e-06,0.00402007504622544,0.0433801140654283,0.0617163832884669,0.0692766782289329,0.136846794938399,0.109545879458795,0.848501476089634,1,Inf,21
-856336.314876336,7036491.65084485,1668988800000,2021-W21,308350,143886,164454,10,27429,197907,27584,55429,0,1768,10620,15366,40928,96820,10489,1163,141,0,5,9827,102771,144129,220809,512505,475451,358912,206522,30,1.04372585079313e-05,0.0177791527809439,0.166183982652482,0.209612607384849,0.281586665986533,0.806822582625698,0.93569692496925,1,1,Inf,0,729,14103,19353,30481,64528,19348,9482,615,0,2,2951,40930,61789,84805,151455,75011,306382,202918,19,4.17490340317251e-06,0.00533899255689076,0.0661851145747934,0.0898622303471365,0.108147571924097,0.238431457744949,0.147623124231242,0.875599795376539,1,Inf,22
-856336.314876336,7036491.65084485,1668988800000,2021-W22,280346,134680,145658,8,45080,184627,13483,37154,0,1753,10179,13526,100370,40375,6174,833,129,0,5,11580,112950,157655,321179,552880,481625,359745,206651,30,1.04372585079313e-05,0.0209507061364944,0.182643750090958,0.229284013746424,0.40958350336666,0.870383839147122,0.947847478474785,1,1,Inf,0,1426,12643,17090,26173,43877,16040,2867,373,1,2,4377,53573,78879,110978,195332,91051,309249,203291,20,4.17490340317251e-06,0.00791893270806874,0.0866292485491181,0.11471690539662,0.141524688839012,0.307505816937284,0.179190159901599,0.883793307441035,1,Inf,23
-856336.314876336,7036491.65084485,1668988800000,2021-W23,293318,146419,146886,13,38158,234318,736,20106,0,1324,9526,13929,128853,9564,2434,461,74,1,5,12904,122476,171584,450032,562444,484059,360206,206725,31,1.04372585079313e-05,0.0233461063890608,0.198047595716159,0.249541519232923,0.573903285043869,0.885440182363739,0.952637638376384,1,1,Inf,0,1323,9389,12438,19491,56079,26529,2371,268,0,2,5700,62962,91317,130469,251411,117580,311620,203559,20,4.17490340317251e-06,0.0103125237459428,0.101811560807675,0.132805989554928,0.166380585594777,0.395789450484404,0.23139975399754,0.890569316197547,1,Inf,24
-856336.314876336,7036491.65084485,1668988800000,2021-W24,360577,178812,181758,7,46437,229774,2835,81530,0,2121,9142,13165,62574,5791,2227,446,79,0,5,15025,131618,184749,512606,568235,486286,360652,206804,31,1.04372585079313e-05,0.0271834507513669,0.212830501102007,0.268687908760509,0.653700775351969,0.894556795032855,0.957020418204182,1,1,Inf,0,1654,16828,22459,33086,139538,42145,11897,260,0,2,7354,79790,113776,163555,390949,159725,323517,203819,20,4.17490340317251e-06,0.0133049648469585,0.129022973171824,0.165469017462264,0.20857350540706,0.615460301567661,0.314341943419434,0.924569390502156,1,Inf,25
-856336.314876336,7036491.65084485,1668988800000,2021-W25,373778,189938,183832,8,28967,223114,4747,116950,0,1716,10792,23486,63435,4561,2742,518,87,3,5,16741,142410,208235,576041,572796,489028,361170,206891,34,1.04372585079313e-05,0.0302880631633033,0.230281509078825,0.30284454411523,0.73459625586615,0.901737052394941,0.962416728167282,1,1,Inf,0,2062,16631,21201,40453,92942,73901,23754,237,3,2,9416,96421,134977,204008,483891,233626,347271,204056,23,4.17490340317251e-06,0.0170355655424207,0.15591583025693,0.196302485322071,0.260161191593552,0.76177634623922,0.459780565805658,0.992455224328472,1,Inf,26
-856336.314876336,7036491.65084485,1668988800000,2021-W26,374895,193003,181881,11,53937,218401,3952,98605,1,1939,12439,58805,46961,3204,1961,356,73,1,6,18680,154849,267040,623002,576000,490989,361526,206964,35,1.25247102095175e-05,0.0337961304516162,0.250395768550994,0.388367023125465,0.794483268720669,0.906781021828864,0.966276014760148,1,1,Inf,0,1742,11274,14896,83538,48898,85253,7304,202,0,2,11158,107695,149873,287546,532789,318879,354575,204258,23,4.17490340317251e-06,0.0201872175363562,0.174146247596686,0.217966337840334,0.366693021832279,0.838755128193018,0.627560147601476,1,1,Inf,27
-856336.314876336,7036491.65084485,1668988800000,2021-W27,395117,206555,188546,16,29248,219550,33014,113305,0,4964,36177,59700,21104,3027,1817,326,68,9,6,23644,191026,326740,644106,579027,492806,361852,207032,44,1.25247102095175e-05,0.0427770721840478,0.30889513063192,0.475191136668717,0.821396143644154,0.911546345011288,0.969851906519065,1,1,Inf,0,4321,30107,23439,111579,20962,107281,3122,119,9,2,15479,137802,173312,399125,553751,426160,357697,204377,32,4.17490340317251e-06,0.0280048342216577,0.222830226206589,0.252054619202818,0.508984135890635,0.871755030588117,0.838691266912669,1,1,Inf,28
-856336.314876336,7036491.65084485,1668988800000,2021-W28,377406,199184,178182,40,42874,224502,49501,60529,0,7983,51179,106136,11612,2777,1434,290,63,7,6,31627,242205,432876,655718,581804,494240,362142,207095,51,1.25247102095175e-05,0.0572200330724446,0.391653204876321,0.629548994541861,0.836204346051826,0.915918100041876,0.972674046740467,1,1,Inf,0,5972,43091,24368,102325,13905,54192,1448,119,5,2,21451,180893,197680,501450,567656,480352,359145,204496,37,4.17490340317251e-06,0.0388094643638982,0.292509746659616,0.287493982667173,0.639474086921037,0.893645291193204,0.945342189421894,1,1,Inf,29
-856336.314876336,7036491.65084485,1668988800000,2021-W29,340347,181426,158880,41,29449,267410,37605,5883,0,12752,101816,89712,8185,2511,1187,200,66,0,6,44379,344021,522588,663903,584315,495427,362342,207161,51,1.25247102095175e-05,0.0802911388282802,0.556292922089787,0.760020767978918,0.846642266884309,0.919871098558911,0.975010086100861,1,1,Inf,0,6062,37649,34358,73300,4746,4841,467,100,0,2,27513,218542,232038,574750,572402,485193,359612,204596,37,4.17490340317251e-06,0.049776923828443,0.353389379658062,0.337462205332484,0.732949908182004,0.901116788987648,0.954869372693727,1,1,Inf,30
-856336.314876336,7036491.65084485,1668988800000,2021-W30,304485,161393,143035,57,17393,266187,17397,3507,1,36711,91632,23557,4926,1894,1022,174,58,0,7,81090,435653,546145,668829,586209,496449,362516,207219,51,1.46121619111038e-05,0.146709219396229,0.704464786705411,0.794280661492124,0.852924148133034,0.922852770877216,0.977021402214022,1,1,Inf,1,4405,25609,74981,49923,3207,3227,453,101,0,3,31918,244151,307019,624673,575609,488420,360065,204697,37,6.26235510475876e-06,0.0577465145478953,0.394799948901793,0.446510092394237,0.796614211385432,0.906165481239393,0.961220172201722,1,1,Inf,31
